,0
1,0.010995805263519287
3,0.011673927307128906
4,0.007753054300944011
5,0.0902860164642334
6,0.018652915954589844
7,0.04813045263290405
9,0.01909327507019043
12,0.02495133876800537
15,0.02220606803894043
16,0.022323449452718098
17,0.021767616271972656
18,0.05618854363759359
19,0.053385138511657715
20,0.100188414255778
21,0.0228272279103597
23,0.02186894416809082
24,0.023949623107910156
25,0.02163394292195638
28,0.026137471199035645
32,0.020297527313232422
35,0.20214414596557617
36,0.1328234076499939
37,0.04088425636291504
44,0.03398442268371582
47,0.02516770362854004
49,0.026643037796020508
50,0.376190185546875
53,0.1970745325088501
68,0.3949873447418213
70,0.386141300201416
73,0.46822285652160645
84,0.4433680772781372
92,0.027460098266601562
99,0.03700852394104004
100,0.03515887260437012
105,0.0
131,0.8049495220184326
142,0.06163183848063151
148,0.9307923316955566
150,0.8720571994781494
151,0.9939439296722412
164,1.0140526294708252
173,0.5431780815124512
178,1.0630619525909424
211,0.5789859294891357
215,0.44052791595458984
228,0.9647128582000732
233,1.4137282371520996
270,0.46866393089294434
273,1.36751127243042
275,0.5586059093475342
320,1.1179134845733643
338,1.7630107402801514
342,1.518744707107544
403,1.4673540592193604
467,1.7462778091430664
485,0.6829218864440918
555,2.601315975189209
612,1.9834785461425781
631,2.0217831134796143
778,3.6678850650787354
786,0.9445304870605469
954,2.1658666133880615
986,1.4561264514923096
1206,3.8526437282562256
1221,1.6426153182983398
1336,6.38629937171936
1776,2.27614426612854
1914,2.8686256408691406
1993,2.7675325870513916
3009,5.0944530963897705
3073,5.472287654876709
3213,4.431236982345581
3439,4.748157739639282
4813,6.149082899093628
5321,11.60648250579834
6050,10.139835834503174
6373,2.074471950531006
6395,1.8819324970245361
6439,1.9567031860351562
6723,22.239883184432983
8763,11.144424676895142
9462,12.664284706115723
10000,2.3341469764709473
10223,19.714657306671143
10619,13.130083322525024
11414,18.25704789161682
13658,22.566932916641235
17159,25.67620611190796
17936,27.906864404678345
18852,25.12713623046875
22445,39.388890981674194
24379,67.96515965461731
27126,55.90686798095703
33827,48.88800549507141
34881,60.29148542881012
38046,56.90761995315552
38577,52.775670289993286
49829,126.28150749206543
54766,139.4644558429718
64283,105.70327115058899
69380,160.78705477714539
128744,201.53071928024292
187112,282.51181864738464
