,0
1,0.009412288665771484
3,0.012440919876098633
4,0.0051657358805338545
5,0.16470074653625488
6,0.008438825607299805
7,0.09878838062286377
9,0.006879687309265137
12,0.007555603981018066
15,0.006935596466064453
16,0.007715463638305664
17,0.007543087005615234
18,0.06278530756632487
19,0.08970749378204346
20,0.12724852561950684
21,0.008211930592854818
23,0.0074318647384643555
24,0.006906747817993164
25,0.007643222808837891
28,0.00759732723236084
32,0.011157512664794922
35,0.18299055099487305
36,0.09684097766876221
37,0.007942914962768555
44,0.005276322364807129
47,0.007452487945556641
49,0.008875131607055664
50,0.20104479789733887
53,0.10551321506500244
68,0.1932690143585205
70,0.2110065221786499
73,0.17538976669311523
84,0.16710948944091797
92,0.00880122184753418
99,0.007240772247314453
100,0.00745701789855957
105,0.05360698699951172
131,0.19174408912658691
142,0.009848197301228842
148,0.18981003761291504
150,0.2121269702911377
151,0.18235087394714355
164,0.22098994255065918
173,0.2383270263671875
178,0.20068359375
211,0.24940705299377441
215,0.26813793182373047
228,0.23808050155639648
233,0.22684049606323242
270,0.22827863693237305
273,0.23016715049743652
275,0.2256462574005127
320,0.2268221378326416
338,0.3649425506591797
342,0.25605344772338867
403,0.2664182186126709
467,0.2601957321166992
485,0.2963521480560303
555,0.27810239791870117
612,0.3190000057220459
631,0.3185746669769287
778,0.3245279788970947
786,0.48262834548950195
954,0.40250229835510254
986,0.38639283180236816
1206,0.43506860733032227
1221,0.4687967300415039
1336,0.5008125305175781
1776,0.5694878101348877
1914,0.6022684574127197
1993,0.6800408363342285
3009,0.8955824375152588
3073,0.8774526119232178
3213,0.9131350517272949
3439,1.0633249282836914
4813,1.3362667560577393
5321,1.4758143424987793
6050,1.6574816703796387
6373,0.005144596099853516
6395,0.010183572769165039
6439,0.009827852249145508
6723,1.7624139785766602
8763,2.2257590293884277
9462,2.3420753479003906
10000,0.013976812362670898
10223,2.6506199836730957
10619,2.608189344406128
11414,2.8574419021606445
13658,3.315890312194824
17159,4.141794681549072
17936,4.455869197845459
18852,4.648908853530884
22445,5.348313570022583
24379,6.066375017166138
27126,6.641119718551636
33827,8.257217407226562
34881,8.10404884815216
38046,8.897657632827759
38577,9.093505144119263
49829,12.374616622924805
54766,12.867534875869751
64283,15.177465438842773
69380,16.724140882492065
128744,31.24285912513733
187112,45.36232852935791
